"Gene.name.uniq"	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"Gene.stable.ID"	"Gene.name"	"ZFIN.ID"	"Gene.description"	"Source.of.gene.name"
"soga1"	0.000323916808150805	-0.503571337505441	0.079	0.142	1	"0"	"ENSDARG00000063075"	"soga1"	"https://zfin.org/ZDB-GENE-090313-188"	"suppressor of glucose, autophagy associated 1 [Source:ZFIN;Acc:ZDB-GENE-090313-188]"	"ZFIN"
"pbx1a"	0.000142641185218271	-0.497038583438676	0.045	0.103	1	"0"	"ENSDARG00000100494"	"pbx1a"	"https://zfin.org/ZDB-GENE-000405-1"	"pre-B-cell leukemia homeobox 1a [Source:ZFIN;Acc:ZDB-GENE-000405-1]"	"ZFIN"
"bach2b"	0.0014636405814645	-0.492610908180547	0.062	0.112	1	"0"	"ENSDARG00000004074"	"bach2b"	"https://zfin.org/ZDB-GENE-041001-139"	"BTB and CNC homology 1, basic leucine zipper transcription factor 2b [Source:ZFIN;Acc:ZDB-GENE-041001-139]"	"ZFIN"
"akap13"	9.41190211542865e-05	-0.490505044149433	0.055	0.118	1	"0"	"ENSDARG00000079994"	"akap13"	"https://zfin.org/ZDB-GENE-030131-6253"	"A-kinase anchoring protein 13 [Source:ZFIN;Acc:ZDB-GENE-030131-6253]"	"ZFIN"
"pleca"	0.000104455893817473	-0.486668500932333	0.103	0.176	1	"0"	"ENSDARG00000062590"	"pleca"	"https://zfin.org/ZDB-GENE-030131-8984"	"plectin a [Source:ZFIN;Acc:ZDB-GENE-030131-8984]"	"ZFIN"
"si:ch211-284f22.3"	0.00010716116144905	-0.437767240948376	0.077	0.145	1	"0"	"ENSDARG00000097055"	"si:ch211-284f22.3"	"https://zfin.org/ZDB-GENE-060526-166"	"si:ch211-284f22.3 [Source:ZFIN;Acc:ZDB-GENE-060526-166]"	"ZFIN"
"fam83b"	0.000317516330519409	-0.433814276640257	0.045	0.101	1	"0"	"ENSDARG00000078309"	"fam83b"	"https://zfin.org/ZDB-GENE-030131-7066"	"family with sequence similarity 83 member B [Source:ZFIN;Acc:ZDB-GENE-030131-7066]"	"ZFIN"
"fermt1"	0.00229045856548558	-0.433789843147152	0.065	0.112	1	"0"	"ENSDARG00000052652"	"fermt1"	"https://zfin.org/ZDB-GENE-030131-3264"	"fermitin family member 1 [Source:ZFIN;Acc:ZDB-GENE-030131-3264]"	"ZFIN"
"CR383676.3"	7.90775079128723e-06	-0.427377060528021	0.136	0.234	0.202612390774361	"0"	"ENSDARG00000105368"	"CR383676.3"	"https://zfin.org/"	""	"Clone-based (Ensembl) gene"
"CR383676.2"	6.96019375381553e-73	-0.424263172484769	1	0.995	1.78334084360262e-68	"0"	"ENSDARG00000099970"	"CR383676.2"	"https://zfin.org/"	""	"Clone-based (Ensembl) gene"
"calm3a*1"	0.000121286531045032	-0.422290959370628	0.053	0.115	1	"0"	"ENSDARG00000034187"	"calm3a"	"https://zfin.org/ZDB-GENE-030131-5590"	"calmodulin 3a (phosphorylase kinase, delta) [Source:ZFIN;Acc:ZDB-GENE-030131-5590]"	"ZFIN"
"fzd4"	0.000487614083157587	-0.418923305596914	0.11	0.175	1	"0"	"ENSDARG00000104117"	"fzd4"	"https://zfin.org/ZDB-GENE-990415-217"	"frizzled class receptor 4 [Source:ZFIN;Acc:ZDB-GENE-990415-217]"	"ZFIN"
"lmo4b"	0.00685785511909389	-0.412948259345322	0.115	0.16	1	"0"	"ENSDARG00000054749"	"lmo4b"	"https://zfin.org/ZDB-GENE-030131-3570"	"LIM domain only 4b [Source:ZFIN;Acc:ZDB-GENE-030131-3570]"	"ZFIN"
"zgc:154054"	0.00143920370668415	-0.407336751860682	0.065	0.117	1	"0"	"ENSDARG00000099923"	"zgc:154054"	"https://zfin.org/ZDB-GENE-061103-283"	"zgc:154054 [Source:ZFIN;Acc:ZDB-GENE-061103-283]"	"ZFIN"
"mef2aa"	0.00168762765112078	-0.404976499896548	0.1	0.154	1	"0"	"ENSDARG00000031756"	"mef2aa"	"https://zfin.org/ZDB-GENE-990415-163"	"myocyte enhancer factor 2aa [Source:ZFIN;Acc:ZDB-GENE-990415-163]"	"ZFIN"
"fam169aa"	0.00231160087332782	-0.394142410570476	0.158	0.214	1	"0"	"ENSDARG00000059719"	"fam169aa"	"https://zfin.org/ZDB-GENE-060825-117"	"family with sequence similarity 169 member Aa [Source:ZFIN;Acc:ZDB-GENE-060825-117]"	"ZFIN"
"rsrp1"	0.000142587622052943	-0.392920686863069	0.096	0.168	1	"0"	"ENSDARG00000030440"	"rsrp1"	"https://zfin.org/ZDB-GENE-060616-210"	"arginine/serine-rich protein 1 [Source:ZFIN;Acc:ZDB-GENE-060616-210]"	"ZFIN"
"cdkn1bb"	0.000268188221925036	-0.378682150758426	0.189	0.264	1	"0"	"ENSDARG00000054271"	"cdkn1bb"	"https://zfin.org/ZDB-GENE-030521-13"	"cyclin-dependent kinase inhibitor 1Bb [Source:ZFIN;Acc:ZDB-GENE-030521-13]"	"ZFIN"
"cdh1"	0.0023284665506246	-0.371716603890907	0.112	0.168	1	"0"	"ENSDARG00000102750"	"cdh1"	"https://zfin.org/ZDB-GENE-010606-1"	"cadherin 1, type 1, E-cadherin (epithelial) [Source:ZFIN;Acc:ZDB-GENE-010606-1]"	"ZFIN"
"ptprfb"	0.000576987045080206	-0.369613730871432	0.179	0.25	1	"0"	"ENSDARG00000005754"	"ptprfb"	"https://zfin.org/ZDB-GENE-060503-530"	"protein tyrosine phosphatase receptor type Fb [Source:ZFIN;Acc:ZDB-GENE-060503-530]"	"ZFIN"
"si:ch211-141e20.2"	0.00173883142561323	-0.362732310389074	0.055	0.103	1	"0"	"ENSDARG00000093349"	"si:ch211-141e20.2"	"https://zfin.org/ZDB-GENE-070912-75"	"si:ch211-141e20.2 [Source:ZFIN;Acc:ZDB-GENE-070912-75]"	"ZFIN"
"fbxl6"	0.00273486860073206	-0.340285489811533	0.072	0.121	1	"0"	"ENSDARG00000077227"	"fbxl6"	"https://zfin.org/ZDB-GENE-060810-162"	"F-box and leucine-rich repeat protein 6 [Source:ZFIN;Acc:ZDB-GENE-060810-162]"	"ZFIN"
"bcl11ba"	0.00721472963862036	-0.326972047692983	0.067	0.109	1	"0"	"ENSDARG00000062510"	"bcl11ba"	"https://zfin.org/ZDB-GENE-061207-62"	"BAF chromatin remodeling complex subunit BCL11B a [Source:ZFIN;Acc:ZDB-GENE-061207-62]"	"ZFIN"
"txnipa"	0.0030614090344344	-0.326039115195903	0.079	0.128	1	"0"	"ENSDARG00000036107"	"txnipa"	"https://zfin.org/ZDB-GENE-030804-10"	"thioredoxin interacting protein a [Source:ZFIN;Acc:ZDB-GENE-030804-10]"	"ZFIN"
"tln1"	0.00927449040679448	-0.298052432315937	0.093	0.14	1	"0"	"ENSDARG00000100729"	"tln1"	"https://zfin.org/ZDB-GENE-031002-48"	"talin 1 [Source:ZFIN;Acc:ZDB-GENE-031002-48]"	"ZFIN"
"aplp2"	0.00562233216879272	-0.290842476427578	0.084	0.13	1	"0"	"ENSDARG00000054864"	"aplp2"	"https://zfin.org/ZDB-GENE-061009-28"	"amyloid beta (A4) precursor-like protein 2 [Source:ZFIN;Acc:ZDB-GENE-061009-28]"	"ZFIN"
"ddr1"	0.00902588470566019	-0.284970498731201	0.069	0.112	1	"0"	"ENSDARG00000078523"	"ddr1"	"https://zfin.org/ZDB-GENE-060323-2"	"discoidin domain receptor tyrosine kinase 1 [Source:ZFIN;Acc:ZDB-GENE-060323-2]"	"ZFIN"
"si:ch211-140m22.7"	0.00157823212707113	-0.266995245897184	0.244	0.312	1	"0"	"ENSDARG00000077967"	"si:ch211-140m22.7"	"https://zfin.org/ZDB-GENE-070912-73"	"si:ch211-140m22.7 [Source:ZFIN;Acc:ZDB-GENE-070912-73]"	"ZFIN"
"sox21a"	0.0029914943212891	-0.259465950417445	0.232	0.294	1	"0"	"ENSDARG00000031664"	"sox21a"	"https://zfin.org/ZDB-GENE-990715-6"	"SRY-box transcription factor 21a [Source:ZFIN;Acc:ZDB-GENE-990715-6]"	"ZFIN"
"ahnak"	0.00101034769238848	-0.254081446544173	0.474	0.527	1	"0"	"ENSDARG00000061764"	"ahnak"	"https://zfin.org/ZDB-GENE-030131-8719"	"AHNAK nucleoprotein [Source:ZFIN;Acc:ZDB-GENE-030131-8719]"	"ZFIN"
"rplp2"	0.00390944461884025	-0.166070384109772	0.574	0.617	1	"0"	"ENSDARG00000101406"	"rplp2"	"https://zfin.org/ZDB-GENE-031018-2"	"ribosomal protein, large P2 [Source:ZFIN;Acc:ZDB-GENE-031018-2]"	"ZFIN"
"mt-co2"	2.73115622575944e-05	0.108004292786835	0.998	0.99	0.699776848164083	"0"	"ENSDARG00000063908"	"mt-co2"	"https://zfin.org/ZDB-GENE-011205-15"	"cytochrome c oxidase II, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-15]"	"ZFIN"
"krt1-c5"	0.00107894750933581	0.108287146733611	0.407	0.307	1	"0"	"ENSDARG00000026979"	"krt1-c5"	"https://zfin.org/ZDB-GENE-060316-3"	"keratin, type 1, gene c5 [Source:ZFIN;Acc:ZDB-GENE-060316-3]"	"ZFIN"
"rpl18"	0.00162819986932664	0.114969315781609	0.644	0.558	1	"0"	"ENSDARG00000029533"	"rpl18"	"https://zfin.org/ZDB-GENE-040801-165"	"ribosomal protein L18 [Source:ZFIN;Acc:ZDB-GENE-040801-165]"	"ZFIN"
"rpl11"	0.00174144532073662	0.117201785926696	0.715	0.646	1	"0"	"ENSDARG00000043509"	"rpl11"	"https://zfin.org/ZDB-GENE-040625-147"	"ribosomal protein L11 [Source:ZFIN;Acc:ZDB-GENE-040625-147]"	"ZFIN"
"rps12"	0.00392937612023013	0.117563565574295	0.627	0.549	1	"0"	"ENSDARG00000036875"	"rps12"	"https://zfin.org/ZDB-GENE-030131-8951"	"ribosomal protein S12 [Source:ZFIN;Acc:ZDB-GENE-030131-8951]"	"ZFIN"
"si:dkey-151g10.6"	0.000532176533262244	0.12008633790573	0.945	0.913	1	"0"	"ENSDARG00000092807"	"si:dkey-151g10.6"	"https://zfin.org/ZDB-GENE-030131-7528"	"si:dkey-151g10.6 [Source:ZFIN;Acc:ZDB-GENE-030131-7528]"	"ZFIN"
"rps13"	0.0042193831533408	0.124580006056351	0.651	0.598	1	"0"	"ENSDARG00000036298"	"rps13"	"https://zfin.org/ZDB-GENE-040625-52"	"ribosomal protein S13 [Source:ZFIN;Acc:ZDB-GENE-040625-52]"	"ZFIN"
"ddx5"	0.0031074296037425	0.12569886664542	0.409	0.318	1	"0"	"ENSDARG00000038068"	"ddx5"	"https://zfin.org/ZDB-GENE-030131-925"	"DEAD (Asp-Glu-Ala-Asp) box helicase 5 [Source:ZFIN;Acc:ZDB-GENE-030131-925]"	"ZFIN"
"rps11"	0.000337340025581222	0.127158148214651	0.656	0.558	1	"0"	"ENSDARG00000053058"	"rps11"	"https://zfin.org/ZDB-GENE-040426-2701"	"ribosomal protein S11 [Source:ZFIN;Acc:ZDB-GENE-040426-2701]"	"ZFIN"
"rps27.1"	0.00118816496202941	0.128646027585681	0.636	0.549	1	"0"	"ENSDARG00000023298"	"rps27.1"	"https://zfin.org/ZDB-GENE-050522-549"	"ribosomal protein S27, isoform 1 [Source:ZFIN;Acc:ZDB-GENE-050522-549]"	"ZFIN"
"si:dkey-222f2.1"	3.62638138776688e-06	0.139966297768093	0.679	0.505	0.092915143917363	"0"	"ENSDARG00000043242"	"si:dkey-222f2.1"	"https://zfin.org/ZDB-GENE-050208-726"	"si:dkey-222f2.1 [Source:ZFIN;Acc:ZDB-GENE-050208-726]"	"ZFIN"
"zgc:158463"	0.000100585203179762	0.147925216019408	0.959	0.942	1	"0"	"ENSDARG00000089382"	"zgc:158463"	"https://zfin.org/ZDB-GENE-070410-9"	"zgc:158463 [Source:ZFIN;Acc:ZDB-GENE-070410-9]"	"ZFIN"
"rpl14"	0.000159719203854798	0.152792089004448	0.713	0.604	1	"0"	"ENSDARG00000103433"	"rpl14"	"https://zfin.org/ZDB-GENE-030131-2085"	"ribosomal protein L14 [Source:ZFIN;Acc:ZDB-GENE-030131-2085]"	"ZFIN"
"CABZ01067232.1"	0.00269538310189298	0.152957001345025	0.158	0.105	1	"0"	"ENSDARG00000057408"	"CABZ01067232.1"	"https://zfin.org/"	"otolin-1-like [Source:NCBI gene;Acc:101886389]"	"Clone-based (Ensembl) gene"
"CT027638.1"	0.0010031650040655	0.154258254727449	0.921	0.888	1	"0"	"ENSDARG00000096403"	"CT027638.1"	"https://zfin.org/"	""	"Clone-based (Ensembl) gene"
"mt-nd4"	0.0054823185957821	0.155234039785227	0.464	0.381	1	"0"	"ENSDARG00000063917"	"mt-nd4"	"https://zfin.org/ZDB-GENE-011205-10"	"NADH dehydrogenase 4, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-10]"	"ZFIN"
"rab2a"	0.00735732006451434	0.160392071629507	0.139	0.093	1	"0"	"ENSDARG00000020261"	"rab2a"	"https://zfin.org/ZDB-GENE-011212-2"	"RAB2A, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-011212-2]"	"ZFIN"
"rplp2l"	0.000151300521707803	0.164957554575486	0.706	0.604	1	"0"	"ENSDARG00000011201"	"rplp2l"	"https://zfin.org/ZDB-GENE-070327-2"	"ribosomal protein, large P2, like [Source:ZFIN;Acc:ZDB-GENE-070327-2]"	"ZFIN"
"atp5if1a"	0.00310680506865414	0.165031980015643	0.12	0.075	1	"0"	"ENSDARG00000067975"	"atp5if1a"	"https://zfin.org/ZDB-GENE-070410-36"	"ATP synthase inhibitory factor subunit 1a [Source:ZFIN;Acc:ZDB-GENE-070410-36]"	"ZFIN"
"mt-nd2"	0.00924536485944559	0.174486170827631	0.354	0.285	1	"0"	"ENSDARG00000063899"	"mt-nd2"	"https://zfin.org/ZDB-GENE-011205-8"	"NADH dehydrogenase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-8]"	"ZFIN"
"rpl29"	0.000776474483330971	0.177696839014743	0.541	0.443	1	"0"	"ENSDARG00000077717"	"rpl29"	"https://zfin.org/ZDB-GENE-040801-167"	"ribosomal protein L29 [Source:ZFIN;Acc:ZDB-GENE-040801-167]"	"ZFIN"
"mt-nd1"	0.000201333203119492	0.178624480047101	0.55	0.453	1	"0"	"ENSDARG00000063895"	"mt-nd1"	"https://zfin.org/ZDB-GENE-011205-7"	"NADH dehydrogenase 1, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-7]"	"ZFIN"
"si:ch211-195b11.3"	0.00835900089120249	0.179779804835291	0.136	0.093	1	"0"	"ENSDARG00000100582"	"si:ch211-195b11.3"	"https://zfin.org/ZDB-GENE-141222-6"	"si:ch211-195b11.3 [Source:ZFIN;Acc:ZDB-GENE-141222-6]"	"ZFIN"
"slc1a3a"	0.000157943075751111	0.179795137699291	0.215	0.138	1	"0"	"ENSDARG00000104431"	"slc1a3a"	"https://zfin.org/ZDB-GENE-030131-2159"	"solute carrier family 1 member 3a [Source:ZFIN;Acc:ZDB-GENE-030131-2159]"	"ZFIN"
"RPL37A"	0.00016443764823242	0.180141421202156	0.679	0.585	1	"0"	"ENSDARG00000115271"	"RPL37A"	"https://zfin.org/ZDB-GENE-070928-31"	"ribosomal protein L37a [Source:HGNC Symbol;Acc:HGNC:10348]"	"HGNC Symbol"
"dlx3b"	0.00934473671682371	0.182222121859082	0.103	0.066	1	"0"	"ENSDARG00000014626"	"dlx3b"	"https://zfin.org/ZDB-GENE-980526-280"	"distal-less homeobox 3b [Source:ZFIN;Acc:ZDB-GENE-980526-280]"	"ZFIN"
"srgap3"	0.000359228760687871	0.185208109549471	0.34	0.248	1	"0"	"ENSDARG00000060309"	"srgap3"	"https://zfin.org/ZDB-GENE-060524-4"	"SLIT-ROBO Rho GTPase activating protein 3 [Source:ZFIN;Acc:ZDB-GENE-060524-4]"	"ZFIN"
"nos1apa*1"	5.84414635376401e-05	0.185604097116151	0.208	0.13	1	"0"	"ENSDARG00000105071"	"nos1apa"	"https://zfin.org/ZDB-GENE-081024-1"	"nitric oxide synthase 1 (neuronal) adaptor protein a [Source:ZFIN;Acc:ZDB-GENE-081024-1]"	"ZFIN"
"eef1a1l1"	3.34228681467986e-09	0.186038909113591	0.981	0.949	8.56360727657273e-05	"0"	"ENSDARG00000020850"	"eef1a1l1"	"https://zfin.org/ZDB-GENE-990415-52"	"eukaryotic translation elongation factor 1 alpha 1, like 1 [Source:ZFIN;Acc:ZDB-GENE-990415-52]"	"ZFIN"
"TSTA3"	0.00403511359681077	0.188954859604784	0.136	0.089	1	"0"	"ENSDARG00000039669"	"TSTA3"	"https://zfin.org/ZDB-GENE-040801-35"	"tissue specific transplantation antigen P35B [Source:HGNC Symbol;Acc:HGNC:12390]"	"HGNC Symbol"
"cirbpa"	0.00200925181785361	0.189399854834129	0.4	0.316	1	"0"	"ENSDARG00000103672"	"cirbpa"	"https://zfin.org/ZDB-GENE-050417-329"	"cold inducible RNA binding protein a [Source:ZFIN;Acc:ZDB-GENE-050417-329]"	"ZFIN"
